Block Address with Zip,Crime Count,SafetyScore,ZipCode,block,street
"0 BLOCK  AKRON ST, 02119",38,18.661971830985912,02119,0,AKRON ST
"0 BLOCK  ALABAMA ST, 02126",15,39.87256874580818,02126,0,ALABAMA ST
"0 BLOCK  ALAMEDA RD, 02132",2,100.0,02132,0,ALAMEDA RD
"0 BLOCK  ALARIC ST, 02132",5,70.03688799463448,02132,0,ALARIC ST
"0 BLOCK  ALASKA ST, 02119",24,29.10798122065728,02119,0,ALASKA ST
"0 BLOCK  ALBAN ST, 02124",5,70.03688799463448,02124,0,ALBAN ST
"0 BLOCK  ALBANO ST, 02131",12,46.12676056338029,02131,0,ALBANO ST
"0 BLOCK  ALBANY ST, 02111",4,75.85513078470825,02111,0,ALBANY ST
"0 BLOCK  ALBEMARLE CT, 02115",2,100.0,02115,0,ALBEMARLE CT
"0 BLOCK  ALBEMARLE ST, 02115",5,70.03688799463448,02115,0,ALBEMARLE ST
"0 BLOCK  ALBEMARLE ST, 02136",2,100.0,02136,0,ALBEMARLE ST
"0 BLOCK  ALBERTA ST, 02132",4,75.85513078470825,02132,0,ALBERTA ST
"0 BLOCK  ALBION PL, 02129",3,84.40643863179075,02129,0,ALBION PL
"0 BLOCK  ALBION ST, 02119",14,42.25352112676056,02119,0,ALBION ST
"0 BLOCK  ALCOTT ST, 02134",2,100.0,02134,0,ALCOTT ST
"0 BLOCK  ALDIE ST, 02134",9,53.923541247484906,02134,0,ALDIE ST
"0 BLOCK  ALDRICH ST, 02131",11,48.52448021462106,02131,0,ALDRICH ST
"0 BLOCK  ALDWORTH ST, 02130",8,56.87458081824279,02130,0,ALDWORTH ST
"0 BLOCK  ALEXANDER ST, 02125",34,20.875251509054326,02125,0,ALEXANDER ST
"0 BLOCK  ALFORD ST, 02129",15,39.87256874580818,02129,0,ALFORD ST
"0 BLOCK  ALGER ST, 02127",2,100.0,02127,0,ALGER ST
"0 BLOCK  ALGONQUIN ST, 02124",75,7.629107981220661,02124,0,ALGONQUIN ST
"0 BLOCK  ALICIA RD, 02124",11,48.52448021462106,02124,0,ALICIA RD
"0 BLOCK  ALLANDALE ST, 02130",12,46.12676056338029,02130,0,ALLANDALE ST
"0 BLOCK  ALLEGHANY ST, 02120",50,13.69885982562039,02120,0,ALLEGHANY ST
"0 BLOCK  ALLEN ST, 02136",4,75.85513078470825,02136,0,ALLEN ST
"0 BLOCK  ALLERTON ST, 02119",10,50.93896713615024,02119,0,ALLERTON ST
"0 BLOCK  ALLEYNE ST, 02132",2,100.0,02132,0,ALLEYNE ST
"0 BLOCK  ALLSTATE RD, 02118",3,84.40643863179075,02118,0,ALLSTATE RD
"0 BLOCK  ALLSTATE RD, 02125",1215,0.0,02125,0,ALLSTATE RD
"0 BLOCK  ALLSTATE RD, 02127",4,75.85513078470825,02127,0,ALLSTATE RD
"0 BLOCK  ALLSTATE ROAD, 02125",99,4.862508383635145,02125,0,ALLSTATE ROAD
"0 BLOCK  ALLSTATE ROAD, 02127",3,84.40643863179075,02127,0,ALLSTATE ROAD
"0 BLOCK  ALLSTATE, 02125",2,100.0,02125,0,ALLSTATE
"0 BLOCK  ALLSTON ST, 02124",18,35.798122065727696,02124,0,ALLSTON ST
"0 BLOCK  ALLSTON ST, 02129",6,64.738430583501,02129,0,ALLSTON ST
"0 BLOCK  ALLSTON ST, 02134",50,13.69885982562039,02134,0,ALLSTON ST
"0 BLOCK  ALLSTON, 02124",2,100.0,02124,0,ALLSTON
"0 BLOCK  ALMONT ST, 02126",64,9.507042253521124,02126,0,ALMONT ST
"0 BLOCK  ALPHA RD, 02124",49,14.000670690811534,02124,0,ALPHA RD
"0 BLOCK  ALPHEUS RD, 02131",4,75.85513078470825,02131,0,ALPHEUS RD
"0 BLOCK  ALPINE ST, 02119",32,22.31723675385648,02119,0,ALPINE ST
"0 BLOCK  ALPINE ST, 02126",7,60.39570757880617,02126,0,ALPINE ST
"0 BLOCK  ALPINE ST, 02136",2,100.0,02136,0,ALPINE ST
"0 BLOCK  ALTACREST RD, 02132",2,100.0,02132,0,ALTACREST RD
"0 BLOCK  ALTACREST ROAD, 02132",3,84.40643863179075,02132,0,ALTACREST ROAD
"0 BLOCK  ALTHEA ST, 02122",16,38.43058350100603,02122,0,ALTHEA ST
"0 BLOCK  ALVAH KITTREDGE PARK, 02119",3,84.40643863179075,02119,0,ALVAH KITTREDGE PARK
"0 BLOCK  ALVAN TER, 02125",2,100.0,02125,0,ALVAN TER
"0 BLOCK  ALVARADO AVE, 02136",4,75.85513078470825,02136,0,ALVARADO AVE
"0 BLOCK  ALVESTON ST, 02130",11,48.52448021462106,02130,0,ALVESTON ST
"0 BLOCK  ALWIN ST, 02136",7,60.39570757880617,02136,0,ALWIN ST
"0 BLOCK  AMBROSE ST, 02119",9,53.923541247484906,02119,0,AMBROSE ST
"0 BLOCK  AMERICAN LEGION HIGHWAY, 02124",4,75.85513078470825,02124,0,AMERICAN LEGION HIGHWAY
"0 BLOCK  AMERICAN LEGION HWY, 02121",8,56.87458081824279,02121,0,AMERICAN LEGION HWY
"0 BLOCK  AMERICAN LEGION HWY, 02124",48,14.235412474849095,02124,0,AMERICAN LEGION HWY
"0 BLOCK  AMES ST, 02124",62,10.060362173038229,02124,0,AMES ST
"0 BLOCK  AMES WAY, 02124",21,32.14285714285714,02124,0,AMES WAY
"0 BLOCK  AMHERST ST, 02131",8,56.87458081824279,02131,0,AMHERST ST
"0 BLOCK  AMORY AVE, 02119",23,30.14755197853789,02119,0,AMORY AVE
"0 BLOCK  AMORY ST, 02119",93,5.432595573440646,02119,0,AMORY ST
"0 BLOCK  AMORY TER, 02119",5,70.03688799463448,02119,0,AMORY TER
"0 BLOCK  AMORY, 02119",4,75.85513078470825,02119,0,AMORY
"0 BLOCK  ANAWAN AVE, 02132",2,100.0,02132,0,ANAWAN AVE
"0 BLOCK  ANDERER LN, 02132",4,75.85513078470825,02132,0,ANDERER LN
"0 BLOCK  ANDERSON PL, 02114",3,84.40643863179075,02114,0,ANDERSON PL
"0 BLOCK  ANDERSON ST, 02114",51,13.363514419852452,02114,0,ANDERSON ST
"0 BLOCK  ANDRIA RD, 02136",4,75.85513078470825,02136,0,ANDRIA RD
"0 BLOCK  ANGELL ST, 02124",18,35.798122065727696,02124,0,ANGELL ST
"0 BLOCK  ANITA TER, 02119",6,64.738430583501,02119,0,ANITA TER
"0 BLOCK  ANITA TERRACE, 02119",2,100.0,02119,0,ANITA TERRACE
"0 BLOCK  ANNABEL ST, 02125",11,48.52448021462106,02125,0,ANNABEL ST
"0 BLOCK  ANNAFRAN ST, 02131",8,56.87458081824279,02131,0,ANNAFRAN ST
"0 BLOCK  ANNAPOLIS ST, 02125",28,25.16767270288397,02125,0,ANNAPOLIS ST
"0 BLOCK  ANNUNCIATION RD, 02120",146,2.448021462105965,02120,0,ANNUNCIATION RD
"0 BLOCK  ANNUNCIATION ROAD, 02120",6,64.738430583501,02120,0,ANNUNCIATION ROAD
"0 BLOCK  ANNUNCIATION, 02120",3,84.40643863179075,02120,0,ANNUNCIATION
"0 BLOCK  ANSEL RD, 02124",2,100.0,02124,0,ANSEL RD
"0 BLOCK  ANSON ST, 02130",3,84.40643863179075,02130,0,ANSON ST
"0 BLOCK  ANSONIA RD, 02132",3,84.40643863179075,02132,0,ANSONIA RD
"0 BLOCK  ANTHONY RIP VALENTI WAY, 02114",3,84.40643863179075,02114,0,ANTHONY RIP VALENTI WAY
"0 BLOCK  ANTRIM ST, 02128",4,75.85513078470825,02128,0,ANTRIM ST
"0 BLOCK  ANTWERP ST, 02135",14,42.25352112676056,02135,0,ANTWERP ST
"0 BLOCK  APPIAN WAY, 02134",4,75.85513078470825,02134,0,APPIAN WAY
"0 BLOCK  APPLETON ST, 02116",40,17.739771965124074,02116,0,APPLETON ST
"0 BLOCK  APSINWALL ST, 02124",2,100.0,02124,0,APSINWALL ST
"0 BLOCK  ARBELLA RD, 02124",2,100.0,02124,0,ARBELLA RD
"0 BLOCK  ARBORCREST TER, 02126",6,64.738430583501,02126,0,ARBORCREST TER
"0 BLOCK  ARBORFIELD RD, 02131",5,70.03688799463448,02131,0,ARBORFIELD RD
"0 BLOCK  ARBOROUGH RD, 02131",3,84.40643863179075,02131,0,ARBOROUGH RD
"0 BLOCK  ARBORWAY, 02130",8,56.87458081824279,02130,0,ARBORWAY
"0 BLOCK  ARBROTH ST, 02122",6,64.738430583501,02122,0,ARBROTH ST
"0 BLOCK  ARBUTUS ST, 02124",26,26.86116700201208,02124,0,ARBUTUS ST
"0 BLOCK  ARCADIA PARK, 02122",14,42.25352112676056,02122,0,ARCADIA PARK
"0 BLOCK  ARCADIA ST, 02119",4,75.85513078470825,02119,0,ARCADIA ST
"0 BLOCK  ARCADIA ST, 02122",53,12.45808182427901,02122,0,ARCADIA ST
"0 BLOCK  ARCH ST, 02110",36,19.634473507712947,02110,0,ARCH ST
"0 BLOCK  ARCHDALE RD, 02131",54,12.173038229376251,02131,0,ARCHDALE RD
"0 BLOCK  ARCOLA ST, 02130",18,35.798122065727696,02130,0,ARCOLA ST
"0 BLOCK  ARDALE ST, 02131",5,70.03688799463448,02131,0,ARDALE ST
"0 BLOCK  ARDEN ST, 02134",6,64.738430583501,02134,0,ARDEN ST
"0 BLOCK  ARDENT ST, 02131",2,100.0,02131,0,ARDENT ST
"0 BLOCK  ARDMORE RD, 02132",2,100.0,02132,0,ARDMORE RD
"0 BLOCK  ARGYLE ST, 02124",16,38.43058350100603,02124,0,ARGYLE ST
"0 BLOCK  ARGYLE TER, 02124",2,100.0,02124,0,ARGYLE TER
"0 BLOCK  ARION ST, 02125",14,42.25352112676056,02125,0,ARION ST
"0 BLOCK  ARLINGTON ST, 02116",36,19.634473507712947,02116,0,ARLINGTON ST
"0 BLOCK  ARLINGTON ST, 02135",14,42.25352112676056,02135,0,ARLINGTON ST
"0 BLOCK  ARLINGTON ST, 02136",14,42.25352112676056,02136,0,ARLINGTON ST
"0 BLOCK  ARMANDINE ST, 02124",58,10.982562038900069,02124,0,ARMANDINE ST
"0 BLOCK  ARMANDINE, 02124",3,84.40643863179075,02124,0,ARMANDINE
"0 BLOCK  ARMINGTON ST, 02134",38,18.661971830985912,02134,0,ARMINGTON ST
"0 BLOCK  ARMSTRONG ST, 02130",5,70.03688799463448,02130,0,ARMSTRONG ST
"0 BLOCK  ARROW ST, 02129",2,100.0,02129,0,ARROW ST
"0 BLOCK  ARUNDEL ST, 02215",5,70.03688799463448,02215,0,ARUNDEL ST
"0 BLOCK  ARVALE RD, 02121",3,84.40643863179075,02121,0,ARVALE RD
"0 BLOCK  ASH ST, 02111",4,75.85513078470825,02111,0,ASH ST
"0 BLOCK  ASHBURTON PL, 02108",2,100.0,02108,0,ASHBURTON PL
"0 BLOCK  ASHBURTON PL, 02114",6,64.738430583501,02114,0,ASHBURTON PL
"0 BLOCK  ASHCROFT ST, 02130",2,100.0,02130,0,ASHCROFT ST
"0 BLOCK  ASHEVILLE RD, 02136",2,100.0,02136,0,ASHEVILLE RD
"0 BLOCK  ASHFIELD ST, 02131",2,100.0,02131,0,ASHFIELD ST
"0 BLOCK  ASHFORD CT, 02134",7,60.39570757880617,02134,0,ASHFORD CT
"0 BLOCK  ASHFORD ST, 02134",102,4.627766599597583,02134,0,ASHFORD ST
"0 BLOCK  ASHLAND ST, 02122",12,46.12676056338029,02122,0,ASHLAND ST
"0 BLOCK  ASHLEY ST, 02128",11,48.52448021462106,02128,0,ASHLEY ST
"0 BLOCK  ASHLEY ST, 02130",5,70.03688799463448,02130,0,ASHLEY ST
"0 BLOCK  ASHMONT CT, 02122",2,100.0,02122,0,ASHMONT CT
"0 BLOCK  ASHMONT ST, 02124",35,20.35546613011402,02124,0,ASHMONT ST
"0 BLOCK  ASHTON ST, 02124",27,25.93896713615024,02124,0,ASHTON ST
"0 BLOCK  ASPEN ST, 02119",5,70.03688799463448,02119,0,ASPEN ST
"0 BLOCK  ASPINWALL RD, 02124",39,18.242790073776,02124,0,ASPINWALL RD
"0 BLOCK  ASPINWALL ROAD, 02124",3,84.40643863179075,02124,0,ASPINWALL ROAD
"0 BLOCK  ASPINWALL, 02124",2,100.0,02124,0,ASPINWALL
"0 BLOCK  ASTICOU RD, 02130",10,50.93896713615024,02130,0,ASTICOU RD
"0 BLOCK  ASTORIA ST, 02126",53,12.45808182427901,02126,0,ASTORIA ST
"0 BLOCK  ATHELWOLD ST, 02124",203,1.374916163648554,02124,0,ATHELWOLD ST
"0 BLOCK  ATHERSTONE ST, 02124",6,64.738430583501,02124,0,ATHERSTONE ST
"0 BLOCK  ATHERTON ST, 02119",36,19.634473507712947,02119,0,ATHERTON ST
"0 BLOCK  ATHERTON ST, 02130",3,84.40643863179075,02130,0,ATHERTON ST
"0 BLOCK  ATHERTON, 02130",3,84.40643863179075,02130,0,ATHERTON
"0 BLOCK  ATHOL ST, 02134",12,46.12676056338029,02134,0,ATHOL ST
"0 BLOCK  ATKINS ST, 02026",2,100.0,02026,0,ATKINS ST
"0 BLOCK  ATKINS ST, 02135",12,46.12676056338029,02135,0,ATKINS ST
"0 BLOCK  ATKINSON ST, 02118",18,35.798122065727696,02118,0,ATKINSON ST
"0 BLOCK  ATLANTIC AVE, 02110",38,18.661971830985912,02110,0,ATLANTIC AVE
"0 BLOCK  ATLANTIC ST, 02127",8,56.87458081824279,02127,0,ATLANTIC ST
"0 BLOCK  ATWOOD SQ, 02130",2,100.0,02130,0,ATWOOD SQ
"0 BLOCK  ATWOOD SQUARE, 02130",2,100.0,02130,0,ATWOOD SQUARE
"0 BLOCK  AUBURN SQ, 02129",2,100.0,02129,0,AUBURN SQ
"0 BLOCK  AUBURN ST, 02129",8,56.87458081824279,02129,0,AUBURN ST
"0 BLOCK  AUCKLAND ST, 02125",21,32.14285714285714,02125,0,AUCKLAND ST
"0 BLOCK  AUGUSTUS AVE, 02131",10,50.93896713615024,02131,0,AUGUSTUS AVE
"0 BLOCK  AURIGA ST, 02122",6,64.738430583501,02122,0,AURIGA ST
"0 BLOCK  AUSTIN ST, 02129",101,4.728370221327971,02129,0,AUSTIN ST
"0 BLOCK  AUSTIN ST, 02136",61,10.278336686787393,02136,0,AUSTIN ST
"0 BLOCK  AUTUMN ST, 02215",2,100.0,02215,0,AUTUMN ST
"0 BLOCK  AVALON RD, 02132",2,100.0,02132,0,AVALON RD
"0 BLOCK  AVE DE LAFAYETTE, 02111",65,9.289067739771962,02111,0,AVE DE LAFAYETTE
"0 BLOCK  AVE LOUIS PASTEUR, 02115",33,21.5962441314554,02115,0,AVE LOUIS PASTEUR
"0 BLOCK  AVERTON ST, 02131",11,48.52448021462106,02131,0,AVERTON ST
"0 BLOCK  AVERY ST, 02111",78,7.176391683433936,02111,0,AVERY ST
"0 BLOCK  AVILA RD, 02136",10,50.93896713615024,02136,0,AVILA RD
"0 BLOCK  AVONDALE ST, 02124",10,50.93896713615024,02124,0,AVONDALE ST
"0 BLOCK  AYLES RD, 02136",5,70.03688799463448,02136,0,AYLES RD
"0 BLOCK  AYR RD, 02135",2,100.0,02135,0,AYR RD
"0 BLOCK  B ST, 02127",42,16.834339369550634,02127,0,B ST
"0 BLOCK  B ST, 02136",10,50.93896713615024,02136,0,B ST
"0 BLOCK  BABSON ST, 02126",55,11.753856472166335,02126,0,BABSON ST
"0 BLOCK  BACK ST, 02116",2,100.0,02116,0,BACK ST
"0 BLOCK  BADGER RD, 02136",6,64.738430583501,02136,0,BADGER RD
"0 BLOCK  BAGNAL ST, 02134",2,100.0,02134,0,BAGNAL ST
"0 BLOCK  BAILEY ST, 02124",121,3.521126760563376,02124,0,BAILEY ST
"0 BLOCK  BAIRD ST, 02124",75,7.629107981220661,02124,0,BAIRD ST
"0 BLOCK  BAKER AVE, 02125",8,56.87458081824279,02125,0,BAKER AVE
"0 BLOCK  BAKER CT, 02125",10,50.93896713615024,02125,0,BAKER CT
"0 BLOCK  BAKER ST, 02132",13,44.26559356136821,02132,0,BAKER ST
"0 BLOCK  BAKER'S ALY, 02113",2,100.0,02113,0,BAKER'S ALY
"0 BLOCK  BAKERSFIELD ST, 02125",56,11.45204560697518,02125,0,BAKERSFIELD ST
"0 BLOCK  BALDWIN PL, 02113",8,56.87458081824279,02113,0,BALDWIN PL
"0 BLOCK  BALDWIN ST, 02129",8,56.87458081824279,02129,0,BALDWIN ST
"0 BLOCK  BALFOUR ST, 02125",35,20.35546613011402,02125,0,BALFOUR ST
"0 BLOCK  BALINA PL, 02124",3,84.40643863179075,02124,0,BALINA PL
"0 BLOCK  BALL ST, 02120",2,100.0,02120,0,BALL ST
"0 BLOCK  BALLARD ST, 02130",4,75.85513078470825,02130,0,BALLARD ST
"0 BLOCK  BALLOU AVE, 02124",28,25.16767270288397,02124,0,BALLOU AVE
"0 BLOCK  BALSAM ST, 02124",20,33.433936955063714,02124,0,BALSAM ST
"0 BLOCK  BANCROFT ST, 02119",19,34.607645875251514,02119,0,BANCROFT ST
"0 BLOCK  BANCROFT, 02119",3,84.40643863179075,02119,0,BANCROFT
"0 BLOCK  BANFIELD AVE, 02126",6,64.738430583501,02126,0,BANFIELD AVE
"0 BLOCK  BANGOR RD, 02132",3,84.40643863179075,02132,0,BANGOR RD
"0 BLOCK  BANTON ST, 02124",11,48.52448021462106,02124,0,BANTON ST
"0 BLOCK  BANTRY WAY, 02127",2,100.0,02127,0,BANTRY WAY
"0 BLOCK  BARBARA ST, 02130",2,100.0,02130,0,BARBARA ST
"0 BLOCK  BARCLAY RD, 02132",3,84.40643863179075,02132,0,BARCLAY RD
"0 BLOCK  BARDWELL ST, 02130",5,70.03688799463448,02130,0,BARDWELL ST
"0 BLOCK  BARKER ST, 02135",2,100.0,02135,0,BARKER ST
"0 BLOCK  BARNA RD, 02124",2,100.0,02124,0,BARNA RD
"0 BLOCK  BARNES AVE, 02128",20,33.433936955063714,02128,0,BARNES AVE
"0 BLOCK  BARROWS ST, 02134",15,39.87256874580818,02134,0,BARROWS ST
"0 BLOCK  BARRY PARK, 02125",2,100.0,02125,0,BARRY PARK
"0 BLOCK  BARRY ST, 02125",70,8.534540576794104,02125,0,BARRY ST
"0 BLOCK  BARTLETT SQ, 02130",2,100.0,02130,0,BARTLETT SQ
"0 BLOCK  BARTLETT ST, 02119",47,14.604292421193833,02119,0,BARTLETT ST
"0 BLOCK  BARTLETT ST, 02129",13,44.26559356136821,02129,0,BARTLETT ST
"0 BLOCK  BARTLETT STATION DR, 02119",5,70.03688799463448,02119,0,BARTLETT STATION DR
"0 BLOCK  BARTLETT STATION DRIVE, 02119",6,64.738430583501,02119,0,BARTLETT STATION DRIVE
"0 BLOCK  BASILE ST, 02131",17,37.156270959087855,02131,0,BASILE ST
"0 BLOCK  BATCHELDER ST, 02119",11,48.52448021462106,02119,0,BATCHELDER ST
"0 BLOCK  BATCHELDER ST, 02125",10,50.93896713615024,02125,0,BATCHELDER ST
"0 BLOCK  BATEMAN ST, 02131",13,44.26559356136821,02131,0,BATEMAN ST
"0 BLOCK  BATESWELL RD, 02124",2,100.0,02124,0,BATESWELL RD
"0 BLOCK  BATTERY ST, 02109",16,38.43058350100603,02109,0,BATTERY ST
"0 BLOCK  BATTERY WHRF, 02109",30,23.725687458081826,02109,0,BATTERY WHRF
"0 BLOCK  BATTERYMARCH ST, 02109",6,64.738430583501,02109,0,BATTERYMARCH ST
"0 BLOCK  BATTERYMARCH ST, 02110",3,84.40643863179075,02110,0,BATTERYMARCH ST
"0 BLOCK  BAXTER AVE, 02169",3,84.40643863179075,02169,0,BAXTER AVE
"0 BLOCK  BAXTER ST, 02127",22,31.15358819584172,02127,0,BAXTER ST
"0 BLOCK  BAY ST, 02125",5,70.03688799463448,02125,0,BAY ST
"0 BLOCK  BAY STATE PL, 02127",2,100.0,02127,0,BAY STATE PL
"0 BLOCK  BAY STATE RD, 02215",45,15.325285043594905,02215,0,BAY STATE RD
"0 BLOCK  BAYARD ST, 02134",3,84.40643863179075,02134,0,BAYARD ST
"0 BLOCK  BAYSWATER ST, 02128",32,22.31723675385648,02128,0,BAYSWATER ST
"0 BLOCK  BEACH POINT PL, 02125",10,50.93896713615024,02125,0,BEACH POINT PL
"0 BLOCK  BEACH ST, 02111",91,5.633802816901412,02111,0,BEACH ST
"0 BLOCK  BEACH ST, 02122",12,46.12676056338029,02122,0,BEACH ST
"0 BLOCK  BEACHVIEW RD, 02128",13,44.26559356136821,02128,0,BEACHVIEW RD
"0 BLOCK  BEACON ST, 02108",162,2.146210596914821,02108,0,BEACON ST
"0 BLOCK  BEACON ST, 02136",41,17.253521126760564,02136,0,BEACON ST
"0 BLOCK  BEALE ST, 02124",9,53.923541247484906,02124,0,BEALE ST
"0 BLOCK  BEALE, 02124",2,100.0,02124,0,BEALE
"0 BLOCK  BEARSE AVE, 02124",4,75.85513078470825,02124,0,BEARSE AVE
"0 BLOCK  BEAUFORD LN, 02125",5,70.03688799463448,02125,0,BEAUFORD LN
"0 BLOCK  BEAUFORT RD, 02130",11,48.52448021462106,02130,0,BEAUFORT RD
"0 BLOCK  BEAUMONT ST, 02124",6,64.738430583501,02124,0,BEAUMONT ST
"0 BLOCK  BEAVER ST, 02108",2,100.0,02108,0,BEAVER ST
"0 BLOCK  BECKET ST, 02124",12,46.12676056338029,02124,0,BECKET ST
"0 BLOCK  BECKLER AVE, 02127",4,75.85513078470825,02127,0,BECKLER AVE
"0 BLOCK  BEDFORD ST, 02111",6,64.738430583501,02111,0,BEDFORD ST
"0 BLOCK  BEECH GLEN ST, 02119",26,26.86116700201208,02119,0,BEECH GLEN ST
"0 BLOCK  BEECH ST, 02131",2,100.0,02131,0,BEECH ST
"0 BLOCK  BEECH ST, 02132",2,100.0,02132,0,BEECH ST
"0 BLOCK  BEECHCROFT ST, 02135",42,16.834339369550634,02135,0,BEECHCROFT ST
"0 BLOCK  BEECHER ST, 02130",2,100.0,02130,0,BEECHER ST
"0 BLOCK  BEECHLAND CIR, 02131",25,27.90073775989269,02131,0,BEECHLAND CIR
"0 BLOCK  BEECHLAND CIRCLE, 02131",2,100.0,02131,0,BEECHLAND CIRCLE
"0 BLOCK  BEECHMONT TER, 02136",2,100.0,02136,0,BEECHMONT TER
"0 BLOCK  BEECHWOOD ST, 02121",17,37.156270959087855,02121,0,BEECHWOOD ST
"0 BLOCK  BEETHOVEN ST, 02119",34,20.875251509054326,02119,0,BEETHOVEN ST
"0 BLOCK  BELDEN SQ, 02125",6,64.738430583501,02125,0,BELDEN SQ
"0 BLOCK  BELDEN ST, 02125",25,27.90073775989269,02125,0,BELDEN ST
"0 BLOCK  BELFORT ST, 02125",6,64.738430583501,02125,0,BELFORT ST
"0 BLOCK  BELGRADE AVE, 02131",24,29.10798122065728,02131,0,BELGRADE AVE
"0 BLOCK  BELGRAVIA PL, 02113",3,84.40643863179075,02113,0,BELGRAVIA PL
"0 BLOCK  BELLAIRE RD, 02132",2,100.0,02132,0,BELLAIRE RD
"0 BLOCK  BELLAMY ST, 02135",29,24.463447350771293,02135,0,BELLAMY ST
"0 BLOCK  BELLEVUE ST, 02125",76,7.427900737759896,02125,0,BELLEVUE ST
"0 BLOCK  BELLEVUE ST, 02132",12,46.12676056338029,02132,0,BELLEVUE ST
"0 BLOCK  BELLEVUE, 02125",2,100.0,02125,0,BELLEVUE
"0 BLOCK  BELLFLOWER ST, 02125",47,14.604292421193833,02125,0,BELLFLOWER ST
"0 BLOCK  BELLVISTA RD, 02135",11,48.52448021462106,02135,0,BELLVISTA RD
"0 BLOCK  BELLVISTA ROAD, 02135",3,84.40643863179075,02135,0,BELLVISTA ROAD
"0 BLOCK  BELMONT ST, 02129",4,75.85513078470825,02129,0,BELMONT ST
"0 BLOCK  BELMORE TER, 02130",6,64.738430583501,02130,0,BELMORE TER
"0 BLOCK  BELNAP RD, 02136",2,100.0,02136,0,BELNAP RD
"0 BLOCK  BELNEL RD, 02126",22,31.15358819584172,02126,0,BELNEL RD
"0 BLOCK  BELNEL ROAD, 02136",3,84.40643863179075,02136,0,BELNEL ROAD
"0 BLOCK  BELVIDERE ST, 02115",40,17.739771965124074,02115,0,BELVIDERE ST
"0 BLOCK  BENNET ST, 02111",9,53.923541247484906,02111,0,BENNET ST
"0 BLOCK  BENNETT ST, 02135",44,15.912139503688804,02135,0,BENNETT ST
"0 BLOCK  BENNINGTON ST, 02128",161,2.1797451374916177,02128,0,BENNINGTON ST
"0 BLOCK  BENTHAM RD, 02122",25,27.90073775989269,02122,0,BENTHAM RD
"0 BLOCK  BENTLEY ST, 02135",8,56.87458081824279,02135,0,BENTLEY ST
"0 BLOCK  BERAM AVE, 02131",4,75.85513078470825,02131,0,BERAM AVE
"0 BLOCK  BERKELEY ST, 02116",49,14.000670690811534,02116,0,BERKELEY ST
"0 BLOCK  BERNARD ST, 02124",37,19.19852448021462,02124,0,BERNARD ST
"0 BLOCK  BERRY ST, 02122",4,75.85513078470825,02122,0,BERRY ST
"0 BLOCK  BERTSON AVE, 02132",2,100.0,02132,0,BERTSON AVE
"0 BLOCK  BETHUNE WAY, 02119",8,56.87458081824279,02119,0,BETHUNE WAY
"0 BLOCK  BEVERLY ST, 02114",17,37.156270959087855,02114,0,BEVERLY ST
"0 BLOCK  BEXLEY RD, 02131",18,35.798122065727696,02131,0,BEXLEY RD
